à ... près,a ... tost
à ... près,war-boues
a fortiori,a fortiori
a posteriori,a posteriori
a priori,a priori
abaisser une perpendiculaire,diskenn ur skwerenn
abaque,abakenn
abréviation,berradur
abscisse,absiss
absolu,absolut
absolue (valeur),talvoud absolut
absolument,end-absolut
abstraction,abstretadur
abstrait,abstret
absurde,absurd
abus de langage,drougusañs-yezh
accélération,buanadur
accéléré,buannaet
accessible,ac'hesadus
accolade {},briatadur
accroissement,kreskamant
accumulation (point d'),poent-berniadur
accumulation,berniadur
acutangle,lemmgorn
achevé,peurachu
addition,adission
additionner,adissioniñ
adjacent,adjassant
adjacents (angles),ankloù adjassant
affine,afin
agrandissement,brasadur
aigu (angle),ankl lemm
aigu,lemm
aire,gorread
aléatoire (variable),variantenn dargouezheg
aléatoire,dargouezheg
algebre,aljebr
algebre commutative,aljebr komutativel
algebre de Boole,aljebr Boole
algébrique (géométrie),geometriezh aljebreg
algébrique,aljebreg
algébriquement,end-aljebreg
algorithme,algoritm
algorithme d'Euclide,algoritm Euclide
algorithmique,algoritmik
algorithmique,algoritmikel
aligné,"a-steud, steudet"
alignement (droite d'),eeunenn-steudadur
alignement,steudadur
aligner,steudañ
"alpha (?, ?)",alfa
alphabet,alfabet
alternative,alternativenn
alterne,alternel
alterné,alternet
alterne-externe,alternel-diavaes
alterne-interne,alternel-diabarzh
alternée (série),serienn alternet
altitude,usted
ambigu,forc'helleg
ambiguité,forc'hellegezh
amiables (nombres),niveroù mignonel
amplitude,ampled
analogie,analogiezh
analogique,analogikel
analogue,analog
analogue,analogel
analyse,analis
analyse combinatoire,analis kombinadurel
analyse fonctionnelle,analis fonksionel
analyser,analisañ
analyticité,analitikelezh
analytique (fonction),fonksion analitikel
analytique,analitikel
angle,ankl
angle au centre,ankl-kreisenn
angle orienté,ankl reteret
angle solide,ankl solud
angulaire,"-ankl, anklel"
angulaire (secteur),sektor-ankl
année,bloawezh
année lumière,bloawezh gouloù
annulateur,nullaer
annulation,nulladur
annuler (s'),(en em) nullaad
antécédent,diagenter
anti-,anti-
appartenance,aparchant
appartenir,aparchantiñ (douzh)
approché,tostaet
approchée (valeur),talvoud tostaet
approximation,tostadur
arabe (chiffre),sifr arabeg
arbitraire,arbitrel
arbitrairement,end-arbitrel
arbre de calcul,gwezenn-jediñ
arc (fonction),ark
arc cosinus,ark kosinus
arc sinus,ark sinus
arc tangente,ark tanjant
are,ar
arête d'un polyèdre,ker eus ur poliedr
arête,ker
argument d'un nombre complexe,argumant un niver kompleks
argumentation,arguzadenn
Arithmético-géométrique,heulienn aritmetiko-geometreg
arithmétique,aritmetik
arithmétique,aritmetikel
arithmétisation,aritmetisadur
arithmétiser,aritmetisañ
arrangement,arenkamant
arrondi (erreur d'),error a rontaed
arrondi,rontaed
arrondir,rontaad
arrondissement,rontadur
assemblage,strolladenn
assertion,assertadenn
associé (à),kevredet (gant)
astérisque,asterisk
atteindre,tizhoud
atteint,tizhet
atto- (a) : ×10^-18,ato-
auto-,aoto-
auxiliaire,skoazel
axe,ahel
axe de révolution,ahel-tro
axe de rotation,ahel-trôadenn
axe de symétrie,ahel-simetriezh
axial,"-ahel, ahelel"
axiale (symétrie),simetriezh-ahel
axiome,aksiom
babylonien,babilonian
bande,bandenn
barre,barrenn
barre de fraction,barrenn-fraksion
barycentre,barikreisenn
barycentrique,barikreisenneg
base de numération,diasenn a niveradur
base,diasenn
beta (?),beta
bi-,bi-
bidimensionnel,diwventel
billion (10^12),bilion
bimagique (carré),karrez bimajik
binaire,binar
binôme,binom
binomial,binomial
bissecteur,-bissekter
bissection,bisseksion
bissectrice,bissekteres
bloc,bloc'h
booléen,boolean
bord,bord
borne,bonn
borné,bonnet
borne inférieure,bonn issañ
borne supérieure,bonn ussañ
borner,bonnañ
boule,boull
bouteille de Klein,boutailh Klein
branche,brank
branche infinie,brank infinit
calcul,jedadur
calculatrice,jederes
calculer,"jediñ, kalkuliñ"
calendrier,kalander
canonique,kanonikel
caractériser,karaterisañ
caractéristique,karakteristik
caractéristique,karakteristikel
cardinal,kardinal
carré,karrez
carré magique,karrez majik
carrée (racine),gwrizienn garrez
carte,kartenn
cartésien (produit),produ kartesian
cartésien,kartesian
cas,kas
catégorie,kategorienn
cellulaire,kelligel
cellule,kellig
centi- (c) : ×10^-2,santi-
centile,santil
central,"-kreis, kreisennel"
centrale (symétrie),simetriezh-kreis
centre de gravité,kreisenn-gravite
centre,kreisenn
centré,kreisennet
cercle,kelc'h
certain,assur
certain,serten
certitude,assurded
chaîne,chadenn
chaînette,chadennig
champ,parkad
changement,chañchamant
changer,chañch
changer de signe,chañch sin
chaos,c'haos
chemin,hent
chiffre,sifr
choisir,choas
choix (axiome du),aksiom ar choas
circonscrire (à),troskrivañ (douzh)
circonscrit (à),troskrivet (douzh)
circonscrit (cercle),kelc'h troskrivet
circulaire,"-kelc'h, kelc'hieg"
circulaire (permutation),permutadenn gelc'hieg
circulaire (secteur),sektor-kelc'h
classe d'équivalence,klassad a ekwivalañs
classe,klassad
classification,klassifiadur
classifier,klassifiañ
classique,klassikel
co-,ken-/ko-
codage,koderezh
code,kod
coder,kodiñ
coefficient,koefissiant
cohérence,koherañs
colonne,kolonenn
combinaison,kombinadenn
combinaison linéaire,kombinadenn linear
combinatoire,kombinadurel
combinatoire,kombinadurezh
commun (à),boutin (da)
commun (facteur),faktor boutin
commuter,komutañ
comparable,keñveriadus
comparaison,keñveriañ
comparer,keñveriañ
compas,kompas
compatibilité,kendere
compatible (avec),kendere (gant.)
complément(aire),klokamant
complémentaire,klokamantel
complémentarité,klokamantelded
complet,klok
complété,klokaed
compléter,klokaad
complexe (nombre),niver kompleks
complexe,kompleks
complexification,kompleksadur
complexifié,kompleksaed
complexifier,kompleksaad
complexité,kompleksted
composante,komponantenn
composé (nombre),niver komposet
composé,komposed
composée,komposenn
composer,komposiñ
composition,komposadur
compréhension,komprenadur
compris entre,lec'hiet etre
compter,kontañ
concaténation,kenchadennadur
concaténer,kenchadenniñ
concave,konkav
concavité,konkavded
Concentrique,kengreisenneg
concept,"konsept, meizad"
conceptualisation,konseptualisadur
conceptuel,konseptual
conclure,kenglosañ
conclusion,kenglosad
concourant,kenredus
concourantes (droites),eennennou kenredus
concourir,kenredeg
concours (point de),kenred (poent-)
concret,konkret
condition,kondission
condition nécessaire,kondission red
condition sufisante,kondission bastus
conditionnel,kondissionel
conditionnement,kondissionamant
conditionner,kondissioniñ
cône de révolution,kon-tro
cône,kon
cône tronqué,kon besk(et)
confiance,fiziañs
configuration,konfigurassion
confondre,kendeuziñ
confondu,kendeuzet
conforme,konform (da)
congru (à),kongruant (da)
congruence,kongruañs
congruent (à),kongruant (da)
conique,koneg
conique,konikenn
conjecture,konjekturenn
conjecturer,konjekturiñ
connexion,konneksion
consécutif,kenheulius
conséquence,konsekañs
conservatif,mirus
conserver,miroud
constant,konstant
constante,konstantenn
constat,konstad
constater,kenstadañ
constructible à la regle et au compas,tressadus gant ar reolenn hag ar c'hompas
constructible,"kensavadus, konstruadus"
construction,"kensavadur, konstruadur"
construire,"kensevel, konstruiñ"
contact (point de),poent-kontakt
contenir,enderc'hel
contexte,kontekst
continu,kendalc'hus
continuée (fraction),fraksion kendalc'het
continuité,kendalc'husted
continument,ent-kendalc'hus
contour,kendro
contra-,kontra-
contraction,kontraksion
contradiction,dislavar
contradictoire,dislavarus
contraire,kontrel ad/m.
contraposé,kontraposed
contraposée,kontraposenn
contraposition,kontraposadur
contre-exemple,skwer-eneb
contrôle,kontroll
contrôler,kontrolliñ
convergence,konverjañs
convergent,konverjant
convergente (suite),heulienn g-konverjant
converger (vers),konverjiñ (war-du)
coordonnée,kennurzhienn
coplanaire,kemplanel
coplanéarité,kemplanelded
corde,kordenn
corollaire,korollar
corps de fractions,korf-fraksionoù
corps,korf
corrélation,korreladur
corrélé,korrelet
corréler,korreliñ
correspondance,kenglotadur
correspondant,kenglotus
correspondre (à),kenglotañ (gant)
cosécante,kosekant
cosinus (cos),kosinus
cotangent,kotañjant
cotangente (cotg),kotanjant
côté,kostez
cote,savenn
couleur,liw
couper,troc'hañ
couple,koublad
coupure,troc'hadur
courbe,krommenn
courbure,krommadur
couronne circulaire,kurunenn-gelc'h
"CQFD,",APRA
crible,krouer
critere,kriter
critique,kritikel
crochet [],kroched
croisé,kroaset
croissance,kreskañs
croissant,kreskant
croître,kreskiñ
croix,kroas
cryptographie,kriptografiezh
cryptographique,kriptografeg
cube,kub
cubique (racine),gwrizienn gubeg
cubique,kubeg
cubique,kubikenn
cumulatif,kumulativel
cumulé,kumulet
cumuler,kumuliñ
curviligne,krommlinnennel
cycle,sikl
cyclide,siklid
cyclique,sikleg
cycloidal,sikloidal
cycloide,sikloidenn
cylindre de révolution,sileñdr-tro
cylindre,sileñdr
cylindrique,silendreg
dé,diñs
déca- (da) : ×10^10,deka-
décagonal,dekagonel
décagone,dekagon
déci-(d) : ×10^-1,dessi-
décidabilité,dessidadusted
décidable,dessidadus
décile,dessil
décimal (nombre),niver degel
décimal,degel
décimale,degelenn
décomposé,digomposet
décomposer,digomposiñ
décrire,deskrivañ
décrit,deskrivet
décroissance,digreskañs
décroissant,"digreskant ad,"
décroître,digreskiñ
déductibilité,dedusadusted
déductible,dedusadus
déductif,deduktivel
déduction,"deduksion, dedusadur"
déduire,dedusiñ
défaut (par),"dre ziouver, dre zefot"
défini,termenet
définir,termenañ
définition,termenadur
déformation,diformadur
déformer,diformiñ
degré,derez
